bubble_id,attach_start_frame,last_attached_frame,detach_frame,note,k,fit_kind,conf_dep_last_attached_pct,conf_dep_first_detached_pct,conf_dep_mean_pct,D_area_px_discr,D_area_px_interp,D_area_mm_discr,D_area_mm_interp,D_feret_max_px_discr,D_feret_max_px_interp,D_feret_max_mm_discr,D_feret_max_mm_interp,D_feret_min_px_discr,D_feret_min_px_interp,D_feret_min_mm_discr,D_feret_min_mm_interp,D_ell_maj_px_discr,D_ell_maj_px_interp,D_ell_maj_mm_discr,D_ell_maj_mm_interp,D_ell_min_px_discr,D_ell_min_px_interp,D_ell_min_mm_discr,D_ell_min_mm_interp,D_perim_px_discr,D_perim_px_interp,D_perim_mm_discr,D_perim_mm_interp,D_mix_px_discr,D_mix_px_interp,D_mix_mm_discr,D_mix_mm_interp
0,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,56,56,57,ok,3,linear,99.82852339744568,99.73303079605104,99.78077709674835,125.64085273360153,125.43016069308501,2.9932941500920283,2.9882745785225304,154.0,150.66666666666663,3.6689284502992767,3.5895144145785123,101.0,101.33333333333334,2.4062452823391363,2.4141866859112127,155.38882446289062,153.64074707031244,3.702016096951037,3.660369532801978,101.79781341552734,102.3632787068685,2.425252557262894,2.4387243215165197,136.9792613626639,136.25032565151778,3.26342278645752,3.2460564684765907,131.3100570481327,130.84024317230137,3.128358468274774,3.1171655234995597
2,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,2,21,,no_detach_found,3,linear,73.34023118019104,nan,73.34023118019104,75.21305270535379,63.868529727963306,1.7918916162631917,1.5216173103747384,93.0,61.99999999999998,2.2156515966093036,1.477101064406202,61.0,61.333333333333314,1.4532768536899734,1.4612182572620493,99.90383911132812,68.05685424804686,2.3801301143485287,1.621400836289158,57.790958404541016,60.26520665486651,1.3768239705226146,1.4357709822026303,86.92898253140622,68.16248660317866,2.0710143971756176,1.6239174437762696,81.07101761838001,66.01550816557096,1.931453006719405,1.5727673770755035
7,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,2,12,13,ok,3,linear,83.56382250785828,57.719409465789795,70.64161598682404,88.33846936460814,88.33806810775982,2.104594308491571,2.104584748863865,92.0,91.66666666666664,2.1918273858930744,2.1838859823209975,85.0,85.33333333333331,2.025057910879471,2.032999314451547,91.57344818115234,90.95963795979817,2.1816651254794572,2.1670415814261403,85.39988708496094,85.87001291910806,2.034584905054279,2.045785281990143,94.03553750974619,94.34630687973477,2.240322460446056,2.2477262954008137,91.18700343717717,91.3421874937473,2.1724583844688135,2.1761555221323396
9,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
