bubble_id,attach_start_frame,last_attached_frame,detach_frame,note,k,fit_kind,conf_dep_last_attached_pct,conf_dep_first_detached_pct,conf_dep_mean_pct,D_area_px_discr,D_area_px_interp,D_area_mm_discr,D_area_mm_interp,D_feret_max_px_discr,D_feret_max_px_interp,D_feret_max_mm_discr,D_feret_max_mm_interp,D_feret_min_px_discr,D_feret_min_px_interp,D_feret_min_mm_discr,D_feret_min_mm_interp,D_ell_maj_px_discr,D_ell_maj_px_interp,D_ell_maj_mm_discr,D_ell_maj_mm_interp,D_ell_min_px_discr,D_ell_min_px_interp,D_ell_min_mm_discr,D_ell_min_mm_interp,D_perim_px_discr,D_perim_px_interp,D_perim_mm_discr,D_perim_mm_interp,D_mix_px_discr,D_mix_px_interp,D_mix_mm_discr,D_mix_mm_interp
0,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3,42,,no_detach_found,3,linear,60.3011429309845,nan,60.3011429309845,100.78643305473773,104.4449532199472,2.401044242293237,2.488201496615544,116.47927856445312,118.4156316121419,2.774896309622931,2.8210262221050506,98.64454650878906,103.38647460937496,2.3500178868312642,2.4629852656559192,121.4823226928711,123.15416717529294,2.894084279019098,2.933912780205846,105.25806427001952,112.59167226155596,2.507572314154655,2.6822815156773543,140.92694723373714,148.65428334494186,3.357315315006293,3.5414043368689487,120.85669014423743,126.54961828244451,2.8791797786497653,3.014802916742246
3,2,14,,no_detach_found,3,linear,99.2021918296814,nan,99.2021918296814,40.73120581065477,47.06163695195032,0.9703431724805571,1.1211536018444623,43.0,45.632857004801444,1.024392860123706,1.0871156489015035,37.0,46.92179361979166,0.8814543215017936,1.117822101588666,44.576454162597656,49.782957712809235,1.0619488691580627,1.1859838706242363,37.90949630737305,46.845123291015625,0.9031213336781151,1.1159955774635146,44.216963397652854,52.79312587201434,1.0533846883931821,1.2576953769047348,42.474084604153816,49.92738141198233,1.0118639304368697,1.1894244893745984
4,6,12,29,ok,3,linear,81.47655725479126,59.89964008331299,70.68809866905212,81.24330003087691,189.77979023232768,1.9354664298725204,4.5211409792970025,128.45606994628906,345.2020934058017,3.060220485872788,8.22378046010837,52.951358795166016,174.18461183641773,1.261464974037597,4.149615644387104,147.73155212402344,313.73530253425963,3.5194220281591333,7.474144276391777,51.10588836669922,161.15944946789347,1.217500166351764,3.8393160320087736,112.2525549012875,300.33517844195194,2.6742026923610056,7.15491191720732,96.7479274660822,245.05748433713978,2.304834561116763,5.838026448252161
5,2,2,3,ok,3,linear,79.65412139892578,82.18759298324585,80.92085719108582,269.95395641194403,270.1489595530727,6.431137337454456,6.435782914791059,319.70623779296875,327.9416503906249,7.616390403072766,7.812583376682342,235.5896759033203,228.11956787109378,5.612473998005099,5.434512943759387,315.8573303222656,318.4206034342448,7.524697534880555,7.585762620333079,236.479248046875,234.14803059895823,5.6336663550381765,5.578129552502323,304.4202963713209,305.3463576408657,7.252232048361015,7.274293689118196,287.18712639163243,287.7476585969691,6.8416846929077355,6.855038301954624
6,2,2,3,ok,3,linear,70.1647162437439,85.28002500534058,77.72237062454224,94.27876357799869,91.77394011886174,2.24601144815332,2.1863388140275,104.0,102.99999999999999,2.4776013361131497,2.4537782463428304,85.0,81.66666666666666,2.024962630477093,1.9455523312426972,109.86307525634766,109.13560740152985,2.6172779042752543,2.5999473722649085,85.88111114501953,83.70016479492185,2.045953420382522,1.9939965396998958,105.21774559602716,103.267060277738,2.5066117987647147,2.4601404473134694,99.74825458701292,97.52050019829983,2.3763116234590176,2.323239630670484
7,2,10,34,ok,3,linear,62.25445866584778,96.52958512306212,79.39202189445496,93.74379626280394,137.0515934158702,2.233266873779249,3.2649924131115013,102.0,150.76231311616445,2.429955156572512,3.591624119347289,77.0,136.22402663457964,1.8343779123145434,3.2452772153898826,109.53509521484376,147.74929155622212,2.6094644063036343,3.5198446362448768,83.8811264038086,141.19869377499538,1.998307604353386,3.3637891572534615,105.57741755205923,157.77246042103184,2.515180296061133,3.7586274878943025,99.66060690743159,147.41202691845103,2.374223584920191,3.511809950502902
8,26,26,,no_detach_found,3,linear,78.71155142784119,nan,78.71155142784119,116.06409601292737,98.51779410977845,2.7650053784268627,2.3469982530510314,138.65499877929688,122.89515243038053,3.3031904830226253,2.9277422486859614,138.4979705810547,118.82686098160282,3.2994495861594304,2.8308229762899098,160.43629455566406,137.62656328755045,3.8220882476168856,3.2786899719797686,112.69279479980467,108.16048775949787,2.684690566983856,2.5767170094959795,169.1776839917208,151.75758712271394,4.030335152869381,3.615334621351382,142.62089000232407,125.1376906162462,3.3976702656481215,2.9811664372012068
9,4,38,41,ok,3,linear,61.867696046829224,53.3572793006897,57.61248767375946,65.66934092876215,70.3058164367025,1.5644466041035678,1.6749017763471148,90.0,94.19906943184994,2.144078079328687,2.2441128873554494,45.0,47.211518423897914,1.0720390396643436,1.1247242416055774,99.0293960571289,102.93070983886719,2.3591861921694313,2.4521275406139638,46.49264907836914,49.204231807163836,1.1075985526539152,1.172196831421637,78.42122077146333,83.53892328383816,1.8682357823365559,1.9901552687066473,72.04528085011273,76.92236986027035,1.7163411932200616,1.8325285225268815
