bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,mean_score_pct,note
0,,,0,0.0,50,0,nan,no_attached_run
1,,,0,0.0,84,0,nan,no_attached_run
2,3,,40,0.01,41,2,94.75630537883656,no_detach_found
3,2,,13,0.00325,14,0,97.27814289239737,no_detach_found
4,6,29,23,0.00575,27,0,85.48446655273438,ok
5,26,27,1,0.00025,89,0,71.2499737739563,ok
6,,,0,0.0,8,2,nan,no_attached_run
7,2,34,32,0.008,19,0,91.60144090652466,ok
8,,,0,0.0,10,9,nan,no_attached_run
9,4,41,37,0.00925,46,0,85.95319926738739,ok
10,6,,3,0.00075,2,0,66.87947511672974,no_detach_found
11,9,19,10,0.0025,44,0,89.02497616681185,ok
12,15,,4,0.001,4,0,89.75172191858292,no_detach_found
13,,,0,0.0,3,3,nan,no_attached_run
14,,,0,0.0,0,0,nan,no_frames
15,28,,9,0.00225,8,0,92.23226383328438,no_detach_found
16,,,0,0.0,8,0,nan,no_attached_run
17,,,0,0.0,0,0,nan,no_frames
18,39,43,4,0.001,54,1,90.24358789126077,ok
19,,,0,0.0,2,0,nan,no_attached_run
20,,,0,0.0,0,0,nan,no_frames
21,44,75,31,0.00775,52,4,93.01199547706112,ok
22,,,0,0.0,5,0,nan,no_attached_run
23,,,0,0.0,0,0,nan,no_frames
24,,,0,0.0,1,0,nan,no_attached_run
25,58,,24,0.006,16,0,94.47239169052669,no_detach_found
26,59,,13,0.00325,12,0,84.6579814950625,no_detach_found
27,,,0,0.0,1,0,nan,no_attached_run
28,,,0,0.0,0,0,nan,no_frames
29,66,,34,0.0085,30,2,95.85928629945826,no_detach_found
30,,,0,0.0,6,2,nan,no_attached_run
31,72,79,7,0.00175,27,0,89.80463594198227,ok
32,,,0,0.0,1,0,nan,no_attached_run
33,,,0,0.0,3,0,nan,no_attached_run
34,75,94,19,0.00475,19,0,84.85492576252331,ok
35,,,0,0.0,6,4,nan,no_attached_run
36,,,0,0.0,0,0,nan,no_frames
37,,,0,0.0,1,0,nan,no_attached_run
38,,,0,0.0,6,6,nan,no_attached_run
39,98,,2,0.0005,3,0,96.15398645401,no_detach_found
