1,0,0,526,502,728,698
1,1,0,222,7,705,282
1,2,0,493,865,545,912
1,3,0,361,839,418,889
1,4,0,426,844,479,891
1,5,0,291,633,600,883
1,6,0,600,781,700,887
2,0,1,528,496,727,693
2,1,1,217,3,706,283
2,2,0,493,865,545,912
2,3,1,361,838,424,892
2,4,0,426,844,479,891
2,5,1,281,628,604,895
2,6,1,601,778,699,880
2,7,0,627,848,688,894
2,8,0,533,786,581,864
3,0,2,530,496,729,692
3,1,2,222,3,704,282
3,2,1,491,856,550,911
3,3,2,362,837,428,891
3,4,0,426,844,479,891
3,5,2,286,626,607,897
3,6,2,601,775,700,871
3,7,1,624,852,688,895
3,8,1,536,786,581,858
4,0,3,531,494,731,690
4,1,3,220,0,702,277
4,2,2,492,859,545,912
4,3,3,363,836,430,891
4,4,0,426,844,479,891
4,5,3,284,620,608,893
4,6,3,600,772,703,861
4,7,2,621,849,691,895
4,8,1,539,785,580,851
4,9,0,434,869,461,894
5,0,4,533,491,733,688
5,1,4,218,0,703,276
5,2,3,495,860,545,912
5,3,4,363,832,428,888
5,4,0,426,844,479,891
5,5,4,283,618,607,891
5,6,4,595,770,703,859
5,7,3,618,847,695,896
5,8,1,543,785,580,845
5,9,1,429,860,468,895
6,0,5,536,488,737,685
6,1,5,210,-2,702,273
6,2,4,497,860,543,909
6,3,5,362,830,427,887
6,4,1,372,830,477,896
6,5,5,285,615,599,872
6,6,5,593,768,703,854
6,7,4,614,843,697,896
6,8,1,546,784,579,838
6,9,2,422,852,475,896
6,10,0,591,780,706,865
7,0,6,539,486,740,682
7,1,6,210,-1,704,270
7,2,4,498,861,543,908
7,3,6,361,829,426,887
7,4,2,364,828,483,899
7,5,6,284,619,596,878
7,6,6,591,768,704,852
7,7,5,611,841,699,896
7,8,1,550,785,579,831
7,9,3,416,847,481,897
7,10,1,590,777,706,864
8,0,7,541,486,743,681
8,1,7,209,0,703,268
8,2,5,500,865,542,915
8,3,7,360,828,424,886
8,4,3,361,827,483,896
8,5,7,283,617,594,881
8,6,7,588,766,705,850
8,7,6,610,838,701,897
8,8,1,554,786,577,823
8,9,4,413,843,485,895
8,10,2,586,766,708,854
9,0,8,541,486,744,678
9,1,8,211,1,705,266
9,2,6,499,864,542,914
9,3,8,357,829,417,886
9,4,4,363,827,485,895
9,5,8,282,613,592,877
9,6,8,586,766,706,849
9,7,7,607,836,703,897
9,8,1,560,789,575,813
9,9,5,411,840,487,894
9,10,3,583,764,707,850
9,11,0,583,770,708,861
10,0,9,541,483,745,675
10,1,9,211,0,707,262
10,2,7,496,859,542,912
10,3,9,356,827,414,885
10,4,4,359,825,485,896
10,5,9,286,609,593,875
10,6,9,585,765,706,847
10,7,8,606,833,704,897
10,8,1,561,785,576,810
10,9,6,408,837,489,894
10,10,3,581,758,707,845
10,11,1,586,776,707,867
11,0,10,542,480,747,671
11,1,10,209,0,704,259
11,2,8,493,856,544,912
11,3,10,356,826,413,884
11,4,5,362,824,480,891
11,5,10,286,604,593,872
11,6,9,584,763,705,845
11,7,9,601,822,705,892
11,8,2,493,781,576,879
11,9,7,406,837,492,894
11,10,3,579,751,706,840
11,11,2,580,771,712,882
12,0,11,543,477,750,670
12,1,11,209,-2,706,255
12,2,9,490,856,545,914
12,3,11,357,825,414,883
12,4,6,359,823,482,890
12,5,11,285,599,591,860
12,6,9,584,760,704,842
12,7,9,599,819,707,892
12,8,3,481,788,574,882
12,9,8,404,836,497,893
12,10,3,577,745,706,834
12,11,3,575,767,713,888
13,0,12,543,472,752,665
13,1,12,208,-2,709,251
13,2,10,489,854,548,914
13,3,12,356,823,413,882
13,4,7,358,822,483,889
13,5,12,284,595,591,853
13,6,9,583,758,704,840
13,7,9,597,816,708,891
13,8,3,476,788,572,885
13,9,9,399,835,494,893
13,10,3,575,739,705,829
13,11,4,572,764,713,888
14,0,13,543,466,754,659
14,1,13,207,-2,707,248
14,2,11,487,855,549,914
14,3,13,356,822,412,878
14,4,7,355,820,482,889
14,5,13,284,596,595,862
14,6,9,583,755,703,837
14,7,9,594,812,709,890
14,8,4,480,819,566,885
14,9,10,394,831,493,891
14,10,3,573,732,705,824
14,11,5,569,760,712,890
15,0,14,543,463,755,657
15,1,14,207,-1,708,247
15,2,12,484,855,550,914
15,3,14,353,820,403,873
15,4,7,352,819,482,888
15,5,14,281,591,591,853
15,6,9,582,752,702,834
15,7,9,592,809,711,889
15,8,5,483,822,567,884
15,9,11,391,827,493,889
15,10,3,571,726,704,819
15,11,6,570,759,711,893
15,12,0,369,864,395,888
15,13,0,525,789,581,835
16,0,15,543,460,756,653
16,1,15,206,-1,708,245
16,2,13,481,853,550,914
16,3,14,352,819,401,871
16,4,7,349,817,482,888
16,5,15,280,587,592,846
16,6,9,581,750,702,832
16,7,9,590,806,712,888
16,8,6,484,816,567,878
16,9,12,381,820,496,888
16,10,3,568,720,704,813
16,11,7,572,753,711,892
16,12,1,365,853,399,888
16,13,1,516,785,578,833
17,0,16,544,457,757,651
17,1,16,206,-1,709,242
