frame,det_in_frame,track_id,x1,y1,x2,y2,score,class_id,area_px,perim_px,feret_max_px,feret_min_px,ell_major_px,ell_minor_px,ell_ecc,cx_px,cy_px,equiv_diam_px,mm_per_px,area_mm2,perim_mm,feret_max_mm,feret_min_mm,ell_major_mm,ell_minor_mm,cx_mm,cy_mm,equiv_diam_mm
1,0,0,526,502,728,698,0.9965857267379761,0,28748,653.9137753248215,195.0,191.0,220.190673828125,168.4572296142578,0.6439689692646654,630.6840994602617,591.2514334081199,191.31934150013808,0.023823089770318745,16.315628599171728,15.578246571611265,4.645502505212155,4.550210146130881,5.245622189194396,4.013171703559661,15.024843918154449,14.085435974911274,4.557817847356058
1,1,1,222,7,705,282,0.9961748123168945,0,108346,1329.1097334623337,471.3829345703125,267.11431884765625,506.28741455078125,284.0201110839844,0.8278253423614432,475.90771736973505,132.64934569490785,371.4167628337148,0.023823089770318745,61.4906461738507,31.663500494877596,11.229797966464842,6.363488396845259,12.061330526425843,6.766236602929662,11.33759227328668,3.160117270463834,8.848294883188775
1,2,2,493,865,545,912,0.9603329300880432,2,1773,157.53910398483276,50.0,44.0,51.11264419555664,44.3028564453125,0.49870980386105573,518.0564015792443,889.5160744500846,47.51266897171157,0.023823089770318745,1.006247721800872,3.7530682165662506,1.1911544885159373,1.0482159498940247,1.2176611110691071,1.0554309261782242,12.341704160910634,21.191021293765896,1.1318985781405226
1,3,3,361,839,418,889,0.9454144835472107,2,1942,169.68123936653137,54.708045959472656,45.96162033081055,54.96255874633789,45.65594482421875,0.5567597525832031,387.3375386199794,865.0610195674562,49.725558778918575,0.023823089770318745,1.1021619152494606,4.0423313977678195,1.3033146900512407,1.0949478071302068,1.3093779710204252,1.0876656720960827,9.227576953958073,20.60842632595897,1.1846164506694385
1,4,4,426,844,479,891,0.9165055751800537,2,1806,165.9827550649643,50.0,45.0,51.30986022949219,46.35713577270508,0.42864243841356586,451.9228711135713,867.1093274287296,47.95279572445911,0.023823089770318745,1.024976528805626,3.9542220742374727,1.1911544885159373,1.0720390396643436,1.2223594063496999,1.1043702070080075,10.766199127798798,20.657223348015336,1.1423837572815463
1,5,5,291,633,600,883,0.8487882018089294,0,56619,936.1219260692596,306.0,245.0,314.1179504394531,235.33738708496094,0.6623430509657261,439.8787656675909,738.7771242869002,268.494971616528,0.023823089770318745,32.13352496370196,22.30131668071166,7.289865469717536,5.836656993728092,7.483260131787627,5.606463698837276,10.479271322556022,17.599953752144753,6.39637981169973
1,6,6,600,781,700,887,0.7489780187606812,2,8083,346.69343197345734,103.0,97.0,109.4891128540039,94.62478637695312,0.5030810636809433,648.6923568586215,832.7193047566029,101.44749992037418,0.023823089770318745,4.587422636952312,8.25930875268357,2.453778246342831,2.3108397077209184,2.608368964393495,2.2542547803553887,15.453856250762582,19.837946750693966,2.4167928975774777
2,0,0,529,495,726,694,0.9969121217727661,0,28698,652.4995617866516,195.20970153808594,190.12367248535156,220.67115783691406,167.87411499023438,0.6490528186797664,630.9708806653192,589.4565881478384,191.15289287585918,0.023823089770318745,16.287251618861493,15.544555635537044,4.650498243778951,4.5293333170812105,5.2570688028689805,3.9992801115251653,15.031675932546976,14.042677215151757,4.553852526837716
2,1,1,217,3,706,283,0.9957610964775085,0,109459,1346.2224313020706,479.46490478515625,268.40380859375,510.7518005371094,284.8214111328125,0.8300753070719249,476.01935571299583,129.65477946942323,373.3196047988455,0.023823089770318745,62.122317755556494,32.07117783172599,11.422335468414106,6.394208026824356,12.16768599454749,6.785326045925855,11.34025184355999,3.0887774504509493,8.893626458142812
2,2,3,360,838,425,891,0.8956087231636047,2,2184,184.2670258283615,58.58247375488281,47.70287322998047,61.095977783203125,46.94418716430664,0.640008433526751,390.29205767910275,865.6655222400244,52.732866086546025,0.023823089770318745,1.2395064999509897,4.389809898018699,1.395615531229915,1.1364298312599597,1.4554949633346477,1.118355585009922,9.297962726731686,20.62282744739396,1.2562598026259828
