chip,tension,extension,departDiameter,departDiameter_std,frequency,frequency_std,frequency2,elevationVelocity,elevationVelocity_std,growingVelocity,growingVelocity_std
T87,50,T87_50V1,3.902349338805883,0.990408665756831,102.4197973397058,40.51815333527305,183.4862385321101,410.1006623890835,142.02894154380232,208.1308633663244,119.22226804268728
T87,50,T87_50V2,2.9149976005158753,0.169766871068124,40.27573488813799,7.404833770118989,95.23809523809524,331.56006641502705,125.7582977928531,246.77262955921867,136.37741414753435
T87,60,T87_60V1,4.0028811154556,1.2120296393767125,90.97836577993773,15.648335905959188,104.51306413301663,408.99017769336854,167.87641380605072,232.34662118171408,140.77178317997297
T87,60,T87_60V2,3.4813656244935234,1.0460584883552135,76.61621833344489,32.79441623841214,169.55684007707129,282.80524113232445,116.55361493142722,217.11709874519389,137.16592451222124
T87,75,T87_75V1,5.111518593171676,1.156759695205399,85.30405405405406,22.804054054054056,64.0,344.21226592703783,155.62783572885084,274.35953710852533,165.85458459835135
T87,75,T87_75V2,3.9502623472736205,1.6590868421581468,100.15214285338126,51.68241185842944,237.3887240356083,278.23248781810696,136.2650132912658,259.59566597958644,140.7455693636544
T87,85,T87_85V1,5.30986625697823,2.71444118693956,63.46804376725636,22.335749159399644,262.2950819672131,303.3255714673026,209.36827767220097,289.5390976373187,174.5773032791997
T87,85,T87_85V2,5.301885688616442,0.5809262009896857,69.19465114314339,19.594751046750805,160.0,270.9459813663817,122.92840374127093,243.1480653490705,147.26025136200002
T87,100,T87_100V1,5.448307236239009,4.321266936152716,174.78991596638656,60.50420168067227,177.77777777777777,234.74662564073765,141.53103085181263,291.9690372031679,203.04143122819062
T87,100,T87_100V2,5.535405248669383,3.48098635670414,66.24264585318423,29.789544116304217,177.94970986460348,369.0293145145413,165.3389556484403,266.9889729162514,185.20536863912963
T88,50,T88_50V1,2.5149645953244226,0.4426729072420171,229.86819102658998,173.37978666678262,324.58233890214797,259.5598829463503,129.99422431854506,227.6094622304257,134.25177703209067
T88,50,T88_50V2,2.334813575689027,0.2688210436805537,160.20664317203085,113.61780816029227,313.5593220338983,268.5335016972218,138.4919544399817,220.97400171681483,142.94118436541805
T88,60,T88_60V1,3.0700894068865954,0.7566337906743669,141.77676897518796,88.2587982845217,387.09677419354836,327.7547060414696,149.06521481611782,278.61319201592784,158.27795698510863
T88,60,T88_60V2,2.725523659113004,0.4916574551193435,121.22831735938642,83.6974699314961,400.9546539379475,280.7757994037977,133.18502295502276,293.35715483716376,147.4654383462795
T88,75,T88_75V1,4.131432342675714,1.4858882901805661,90.50083463033594,34.56946061971453,360.0,323.8666654103512,175.18029526998546,297.1260775765806,187.7808965799457
T88,75,T88_75V2,4.3775787596120725,1.9076547472162375,64.93203398722198,17.16883095035988,257.77777777777777,504.3333881338498,201.02917085596914,271.33974345229814,168.26623609835244
T88,85,T88_85V1,5.661287593527661,3.124149603445752,107.31341881464931,36.12010963188323,229.29936305732485,398.8198398830835,205.23091401273908,258.8543118626439,168.67547626824782
T88,85,T88_85V2,4.830367650112298,2.29019990610115,77.66176401236305,23.883142812933556,160.0,305.13117981954065,174.4454106304535,274.66343592086554,186.84524702495332
T88,100,T88_100V1,5.915076189542284,2.5409866752528654,196.0885560885561,149.50713734257468,137.3390557939914,339.15087030813186,220.9888599675331,325.4383554769153,187.00265352800506
T88,100,T88_100V2,7.330847922613384,2.3448081567416272,110.39014346772234,39.84334697186717,130.9090909090909,382.1059034034298,312.2243823125511,446.05371353919514,256.36745174743027
T89,50,T89_50V1,2.4181475035840014,0.1753270124849994,210.30179196388417,125.31745251505778,246.64879356568366,306.37062720677176,136.54141254299873,213.40873603426425,111.92095060661948
T89,50,T89_50V2,2.5027620732844618,0.37203153065846056,235.28781008500602,189.66533612116257,288.0,284.09623121674446,121.40159598068362,257.1148537108364,146.16854941193245
T89,60,T89_60V1,2.6891280642727664,0.4387367704089697,252.69397269397268,157.10805231915876,487.0848708487085,308.43388947204517,139.23783207178337,245.56282434999093,131.5320550251826
T89,60,T89_60V2,2.6958947800849975,0.4427519507671471,193.04599022390985,140.06997814286333,376.0,320.46821722203,241.83832978252497,246.49469538020978,145.85948611310658
T89,75,T89_75V1,2.746133106763825,0.38821732470614473,142.3004543994173,99.1425471957334,395.9044368600683,276.34493906188726,122.4635849027578,229.60962215717066,274.0572149597622
T89,75,T89_75V2,2.9149748786171275,0.4688695209023485,137.434575862331,87.36420067106778,379.0523690773067,296.99167223238044,161.09938022194552,336.8545050727638,176.7806367834804
T89,85,T89_85V1,3.3399449513214954,0.837768787572259,124.7611458622683,90.89343622105618,310.44776119402985,289.28699110742957,141.71229019246132,270.0735768620878,262.6274273102639
T89,85,T89_85V2,3.523397978807252,1.0584213667596836,171.0491704699235,127.38794203699696,335.87786259541986,303.1193752230882,145.5222852638847,267.24068654280603,136.7056084852656
T89,100,T89_100V1,3.4436624363262798,0.7356636722580776,78.26673645643172,22.651235019390892,363.6363636363636,334.9300252777766,174.08937494573763,300.4484483808676,174.04423311886003
T89,100,T89_100V2,3.0444990486399544,0.5875906120698396,98.83813699847464,52.701644055726156,384.4155844155844,321.59041522986746,212.44681288382728,242.54119237160268,119.01918249659762
