chip,tension,extension,departDiameter,departDiameter_std,frequency,frequency_std,frequency2,elevationVelocity,elevationVelocity_std,growingVelocity,growingVelocity_std
T87,50,T87_50V,3.4621184428171277,0.9481039237529577,74.1724962253568,43.33473788297721,,374.5561511229781,134.9837042326442,224.3726614309999,129.15009341561145
T87,60,T87_60V,3.7203935578511413,1.1547873364467454,91.33087156668908,34.85088910967983,,332.7716811698729,139.7816528422665,223.87845194202316,139.1831166611823
T87,75,T87_75V,4.262908259630789,1.6239036910729754,97.67746138682672,48.40644724560478,,295.0217171326038,141.35377005037716,267.8170337104386,159.74668062889836
T87,85,T87_85V,4.971636277236468,2.3066538842547164,66.59164779046746,21.07905538088873,,287.2876906432486,165.627345180582,267.3746030667604,162.44249264145262
T87,100,T87_100V,5.505110287824037,3.794649283011903,78.25341296131674,33.14118711769872,,321.84058819433477,157.87785229100112,275.3685416587584,192.79421406978136
T88,50,T88_50V,2.3365714715807226,0.2615983570052992,173.97009484839754,119.09579866578868,,264.8282655678297,135.1650085300894,223.6062505156026,139.2118309131915
T88,60,T88_60V,2.858660055642571,0.5633753680026528,132.970289711273,86.93026710247464,,304.6975739493607,142.94939924707276,285.98517342654577,153.26773637591248
T88,75,T88_75V,4.24243955031368,1.6936191531974565,83.01892009259839,33.09646347139512,,385.32996952632527,189.93184532357168,286.8382655166338,179.01029200626232
T88,85,T88_85V,5.212141678168005,2.7369842741847386,91.70728470818285,33.7254669481242,,369.5421336132264,190.5221910393877,266.23821411738214,178.14354654138074
T88,100,T88_100V,6.771990659559003,2.520985658511765,171.32836550447072,128.0475021907166,,368.59196040715625,291.18676675979884,404.30224344071365,231.81540480389089
T89,50,T89_50V,2.426677632648387,0.3014030564307696,224.18291314228517,164.67810015314487,,291.6437538249355,128.435428655063,243.3129218129715,133.05339140470747
T89,60,T89_60V,2.693357261655411,0.4412627001001864,218.2816751150903,150.4333724409613,,315.9186542921577,212.92121249374912,246.18124785186345,141.17768458409338
T89,75,T89_75V,2.8742955573897166,0.46913954565966043,153.10999031842073,110.52113828004515,,289.77945722076987,147.91010755416656,295.1974017915004,226.0987182355001
T89,85,T89_85V,3.4418632999246936,0.9708812739075301,162.52001629088616,124.16779245489865,,297.1650376898576,143.64337449685928,268.43621823718183,206.4832242138664
T89,100,T89_100V,3.3226344874574116,0.7522518870848475,90.78427663248621,44.50456141024431,,328.7921678937694,186.98568017047077,280.6380713250664,159.12391280265615
